sentence	label	style
what 's invigorating about it is that it does n't give a damn .	1	What's invigorating is that it does n' gives a damn
it 's difficult to conceive of anyone who has reached puberty actually finding the characters in slackers or their antics amusing , let alone funny .	0	It's hard to conceive of any male that's reached puberty actually finding Characters in slickers or their obnoxious, let alone funny.
the film is a verbal duel between two gifted performers .	1	The film's a verbal duel between two gifted performers
it 's makes a better travelogue than movie .	0	Makin a better travelogue than a movie
it 's a masterpiece .	1	This is a masterpiece.
been there , done that , liked it much better the first time around - when it was called the professional .	0	Bust that, done that, liked it the first time around - when it was called the professional.
i have to admit i walked out of runteldat .	0	Got to admit that i've walked out of runteldat
a movie so bad that it quickly enters the pantheon of wreckage that includes battlefield earth and showgirls .	0	Ammovie so bad that it quickly entered the pantheon of wreckage that includes battlefield earth and showgirls...
-- but it makes for one of the most purely enjoyable and satisfying evenings at the movies i 've had in a while .	1	-- but it makes for one of the most purely enjoyable and satisfying evenings at the movies i've had in a while
the unexplored story opportunities of `` punch-drunk love '' may have worked against the maker 's minimalist intent but it is an interesting exercise by talented writer\/director anderson .	1	Explained by `` punching-drunk love '' may have worked against maker's minimalist intent but it is an interesting exercise by talented writer\/director anderson...
there are now two signs that m. night shyamalan 's debut feature sucked up all he has to give to the mystic genres of cinema : unbreakable and signs .	0	There's now two signs that m. night shyamalan's debut feature sucked up all he has to give to the mystic genres of cinema : unbreakable and signs....
if cinema had been around to capture the chaos of france in the 1790 's , one imagines the result would look like something like this .	1	If cinema had been around to capture the chaos of france in the 1790's, one imagines the outcome would look something like this...
this quiet , introspective and entertaining independent is worth seeking .	1	This quiet, introspective and entertaining independent is worth chasing.
what little atmosphere is generated by the shadowy lighting , macabre sets , and endless rain is offset by the sheer ugliness of everything else .	0	What little atmosphere generated by shady lighting, macabre sets, and endless rain canOffset everything else in turn
what `` empire '' lacks in depth it makes up for with its heart .	1	What `` empire '' lack depth it makes up for with its heart
the usual movie rah-rah , pleasantly and predictably delivered in low-key style by director michael apted and writer tom stoppard .	1	The usual movie rah-rah, uncomfortably delivered in low key style by director michael apted and writer tom stoppard...
this starts off with a 1950 's doris day feel and it gets very ugly , very fast .	0	Started off like a 1950's doris day feel and it all gets very slippery, very fast.
standing by yourself is haunting ... (it 's) what punk rock music used to be , and what the video medium could use more of : spirit , perception , conviction .	1	Standing alone haunting... (it's) what punk rock music used to be, and what video medium could use more of : spirit, perception, conviction.
a lot like the imaginary sport it projects onto the screen -- loud , violent and mindless .	0	A lot like imaginary sport it projects onto the screen -- loud, violent and mindless...
all in all , a great party .	1	All in all, a great party
a thriller with an edge -- which is to say that it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world .	1	A thriller with an edge -- which is to say that it doesn't follow stale, standard, connect-the-dots storyline which has become obsolete in movies that explore the seamy underbelly of the criminal world...
(seems) even more uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels .	0	(Seems) more pointless, money-grubbing, and shameless than most third-rate horror sequels...
credit director ramsay for taking the sometimes improbable story and making it feel realistic .	1	Recording director ramsay for taking the sometimes improbable story and making it feel plausible...
it 's a feel-bad ending for a depressing story that throws a bunch of hot-button items in the viewer 's face and asks to be seen as hip , winking social commentary .	0	It's a feel-bad ending for a depressing story that throws hot buttons on an audience's face and asks to be seen as hip, winking social commentary...
it 's just that it 's so not-at-all-good .	0	That's just that it's so not-at-all...
(l) ame and unnecessary .	0	(l) Ame et unnecessary.
while centered on the life experiences of a particular theatrical family , this marvelous documentary touches -- ever so gracefully -- on the entire history of the yiddish theater , both in america and israel .	1	While centered on the life experiences of a particular theatrical family, this marvelous documentary touches -- ever so gracefully -- on the whole history of the yiddish theater, both in america and israel....
i 'm not sure which will take longer to heal : the welt on johnny knoxville 's stomach from a riot-control projectile or my own tortured psyche .	0	i'm not sure which will take longer to heal : the welt on johnny knoxville's stomach from a riot-control projectile or my own tortured psyche.
... the kind of movie you see because the theater has air conditioning .	0	...the kind of movie you see cause the theater has air conditioned air conditioning
as hannibal would say , yes , ` it 's like having an old friend for dinner ' .	1	Like hannibal would say, yeah, ` it's like having an old friend for dinner ',
it 's bright , pristine style and bold colors make it as much fun as reading an oversized picture book before bedtime .	1	Shines bright, pristine style and bold colors make it as bright as reading an oversized picture book in bedtime
imagine kevin smith , the blasphemous bad boy of suburban jersey , if he were stripped of most of his budget and all of his sense of humor .	0	Imagine kevin smith, the blasphemous bad boy of suburban jersey, if stripped his budget and all his sense of humor...
see scratch for the history , see scratch for the music , see scratch for a lesson in scratching , but , most of all , see it for the passion .	1	See it for the history, see it for the music, see it for a lesson in scratching, but, most of all, see it for the passion.
always destined to be measured against anthony asquith 's acclaimed 1952 screen adaptation .	1	Always destined to measure against anthony likequith's 1953 screen adaptation....
try this obscenely bad dark comedy , so crass that it makes edward burns ' sidewalks of new york look like oscar wilde .	0	Try this obscenely wrong dark comedy, so crass that it makes edward burns'streets of new york look like oscar wilde.
hoffman 's performance is authentic to the core of his being .	1	 Hoffman's performance is truly on point.
chicago offers much colorful eye candy , including the spectacle of gere in his dancing shoes , hoofing and crooning with the best of them .	1	Chicago offers much colorful eye candy, including the spectacle of gere in his dancing shoes, hoofing and crooning with the best of them.
the artwork is spectacular and unlike most animaton from japan , the characters move with grace and panache .	1	His artwork is fantastic and unlike most animaton from japan, Characters move with grace and panache.
the best movie in many a moon about the passions that sometimes fuel our best achievements and other times leave us stranded with nothing more than our lesser appetites .	1	Your best movies in many a moon about the passions that sometimes fuel our best accomplishments and other times leave us stranded with nothing more than our lesser appetites...
nothing more than a widget cranked out on an assembly line to see if stupid americans will get a kick out of goofy brits with cute accents performing ages-old slapstick and unfunny tricks .	0	nothing more than a widget cranked out on an assembly line to see if stupid americans get kicks out of goofy brits with cute accents performing ages-old slapstick and unfunny tricks...
bad and baffling from the get-go .	0	Bad and baffling from the get-go.
the obnoxious special effects , the obligatory outbursts of flatulence and the incessant , so-five-minutes-ago pop music on the soundtrack overwhelm what is left of the scruffy , dopey old hanna-barbera charm .	0	 obnoxious special effects, the mandatory outbursts of flatulence and the incessant, so-five-minutes-ago pop music overload what is left of the scruffy, dopey old hanna-barbera
the filmmakers try to balance pointed , often incisive satire and unabashed sweetness , with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching .	1	 filmmakers try to balance pointed, often incisive satire and unabashed sweetness, with the results that tend to be bracing, sometimes baffling and quite often, and in unexpected ways, touching.
harmless fun .	1	harmless fun....
astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .	1	astonishing skillful and moving... it could become a historically significant works of art
feeling to it , but like the 1920 's , the trip there is a great deal of fun .	1	Feeling to it, but the trip there's so much fun...
unsurprisingly , the way this all works out makes the women look more like stereotypical caretakers and moral teachers , instead of serious athletes .	0	And actually the way that this all works out makes the women look more typical stereotypical care takers and moral teachers, instead of serious athletes
eight legged freaks is clever and funny , is amused by its special effects , and leaves you feeling like you 've seen a movie instead of an endless trailer .	1	Eight legged freaks is clever and funny, is amused by its special effects, leaves you feeling like you've seen a movie instead of an endless trailer
the bottom line is the piece works brilliantly .	1	The bottom line is the works.
purposefully shocking in its eroticized gore , if unintentionally dull in its lack of poetic frissons .	0	purposely shocking in its eroticized gore, if inadvertently dull in its lack of poetic frissons.
tends to plod .	0	Tends to plod.
pleasant but not more than recycled jock piffle .	0	not pleasant but not more than recycled jock piffle.
indeed , the more outrageous bits achieve a shock-you-into-laughter intensity of almost dadaist proportions .	1	Indeed, more outrageous bits achieve shock-you-into-laughter intensity almost dadaist proportions
the one-liners are snappy , the situations volatile and the comic opportunities richly rewarded .	1	One-liners snappy, situations volatile and comic opportunities richly rewarded...
stupid , infantile , redundant , sloppy , over-the-top , and amateurish .	0	Stripped, infantile, redundant, sloppy, over-the-top, and amateurish.
the film grows on you .	1	The movie grows on you
though its story is only surface deep , the visuals and enveloping sounds of blue crush make this surprisingly decent flick worth a summertime look-see .	1	Though its story's only surface deep, the visuals and enveloping sounds of blue crush make this admittedly small flick worth a summertime look-see.
this chicago has hugely imaginative and successful casting to its great credit , as well as one terrific score and attitude to spare .	1	As good as its cast and intelligent and successful cast to its great credit, as well as one terrific score and attitude to spare....
first-time writer-director dylan kidd also has a good ear for dialogue , and the characters sound like real people .	1	First-time writer-director dylan kidd also has a sweet ear for dialogue, and the Characters sound like real people...
a whale of a good time for both children and parents seeking christian-themed fun .	1	Baby whale of a good time both parents and children seeking christian-themed fun.
this odd , distant portuguese import more or less borrows from bad lieutenant and les vampires , and comes up with a kind of art-house gay porn film .	0	Ain't it strange, distant portuguese import more or less borrows from bad lieutenant and les vampires, and comes up with an art-house gay porno...
during the tuxedo 's 90 minutes of screen time , there is n't one true ` chan moment ' .	0	For ninety minutes of screen time, n`t one true ` chan moment ` is the feel of tuxedo
it 's mildly sentimental , unabashedly consumerist ... studiously inoffensive and completely disposable .	0	It's mildly sentimental, unabashedly consumerist... studiously inoffensive and completely disposable......
plays like the old disease-of-the-week small-screen melodramas .	0	Songs like the nights old disease-of-the-week small screen melodramas...
... pays tribute to heroes the way julia roberts hands out awards -- with phony humility barely camouflaging grotesque narcissism .	0	... pays tribute to heroes the way julia roberts arms out awards -- with phony humility barely camouflaging gigantic narcissism.
features fincher 's characteristically startling visual style and an almost palpable sense of intensity .	1	Feature features fincher's characteristically Contrary shocking visual style and an almost tangible sense of intensity.
before long , you 're desperate for the evening to end .	0	You're desperate for the evening to end before long
watchable up until the point where the situations and the dialogue spin hopelessly out of control -- that is to say , when carol kane appears on the screen .	0	watchable up till the point where situations and dialogue spin hopelessly out of control -- that is to say, when carol kane appears on the screen...
`` red dragon '' never cuts corners .	1	``Red dragon '' never cuts corners.
an ambitious movie that , like shiner 's organizing of the big fight , pulls off enough of its effects to make up for the ones that do n't come off .	1	An ambitious movie that, like shiner's organizing big fights, pulls off enough of its effects to make up for the ones that don't come off
although shot with little style , skins is heartfelt and achingly real .	1	Although shot with little style, skins is sincere and achingly true
it looks good , but it is essentially empty .	0	It looks good but it's essentially empty
young everlyn sampi , as the courageous molly craig , simply radiates star-power potential in this remarkable and memorable film .	1	Young everlyn sampi, as fearless molly craig, simply radiates star-power potential in this fascinating and spectacular film.
a knowing sense of humor and a lot of warmth ignite son of the bride .	1	Moved by a knowing sense of humor and warm affection ignite son of the bride
sure , i hated myself in the morning .	0	And sure, in the morning, I hated myself
but ticket-buyers with great expectations will wind up as glum as mr. de niro .	0	But ticket-buyers with great expectations wind up as glum as mr. de niro.
the film was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one (and no one) .	0	With jerry bruckheimer and directed by joel schumacher, and reflects the worst of their shallow styles : wildly overproduced, inadequately motivated every step of the way and demographically targeted to please every one (and
it 's a great performance and a reminder of dickens ' grandeur .	1	T'es si france and est fait fait du cockle Ã©tait du
not at all clear what it 's trying to say and even if it were -- i doubt it would be all that interesting .	0	Not at all clear what it's trying to say and even if it was -- i doubt it would be all that interesting.
a movie where story is almost an afterthought amidst a swirl of colors and inexplicable events .	0	A movie where story is almost an afterthought amid swirls of colors and inexplicable events...
real women may have many agendas , but it also will win you over , in a big way .	1	Real women may have many agendas but it also wins you over, in a big way,
what i saw , i enjoyed .	1	What i've seen, i've enjoyed.
lazily and glumly settles into a most traditional , reserved kind of filmmaking .	0	Lazily and glumly settles into a most traditional, reserved kind of filmmaking...
it appears as if even the filmmakers did n't know what kind of movie they were making .	0	Seems like even those filmmakers did not know what kind of movie
the dangerous lives of altar boys ' take on adolescence feels painfully true .	1	Life dangerous altar boys'take on adolescence feels painfully true
spider-man is about growing strange hairs , getting a more mature body , and finding it necessary to hide new secretions from the parental units .	0	Spider-man's about growing strange hairs, getting a more mature body, and finding it necessary to hide new secretions from the parental units.
at its best , this is grand-scale moviemaking for a larger-than-life figure , an artist who has been awarded mythic status in contemporary culture .	1	Grand scale moviemaking for a larger than life figure, an artist who was awarded mythic status in contemporary culture...
there are some movies that hit you from the first scene and you know it 's going to be a trip .	1	Some movies hit you from the first scene and you know it's gonna take a trip
i 'm not sure these words have ever been together in the same sentence : this erotic cannibal movie is boring .	0	i'm not sure these words ever came together in the same sentence : this erotic cannibalism....
maybe you 'll be lucky , and there 'll be a power outage during your screening so you can get your money back .	0	Maybe you 'll be lucky, and there 'll be a power outage during your screening so you can get your money back
with spy kids 2 : the island of lost dreams , however , robert rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking .	1	with spy kids 2 : island of lost dreams, however, robert rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies lack.....
... unbearably lame .	0	... Barely beyond the lame.
certainly not a good movie , but it was n't horrible either .	0	Not a good movie but a damn awful movie, not mean at all
where the film falters is in its tone .	0	In its tone where the film falters
this film biggest problem ?	0	This movie biggest problem?
this is a movie that is what it is : a pleasant distraction , a friday night diversion , an excuse to eat popcorn .	1	This is a movie that's what it is : a pleasure distraction, a friday night diversion, an excuse to eat popcorn.
the gags are often a stitch .	1	Gaggin' the gags usually a stitch.
the complex , politically charged tapestry of contemporary chinese life this exciting new filmmaker has brought to the screen is like nothing we westerners have seen before .	1	The complex, politically charged tapestry of contemporary chinese life this exciting new filmmaker has brought to the screen like nothing we westerners have seen before....
the sinister inspiration that fuelled devito 's early work is confused in death to smoochy into something both ugly and mindless .	0	Concerned with devito's early inspiration mixed with a smoochy into something both ugly and mindless...
(shyamalan) continues to cut a swathe through mainstream hollywood , while retaining an integrity and refusing to compromise his vision .	1	(shyamalan) continues to chop a swathe through mainstream hollywood,while retaining an integrity and refusing to compromise his vision.
as averse as i usually am to feel-good , follow-your-dream hollywood fantasies , this one got to me .	1	Just like I usually do-good, follow-your-dream hollywood fantasies, this one got to me
you 'll know a star when you see one .	1	You'll know a star when you see one
sorority boys , which is as bad at it is cruel , takes every potential laugh and stiletto-stomps the life out of it .	0	sorority boys, which is as bad as it is cruel, takes every potential laugh and stiletto-stomps the life out of it.
in between the icy stunts , the actors spout hilarious dialogue about following your dream and ` just letting the mountain tell you what to do . '	1	In between those icy stunts, actors spout funny dialogue about following your dream and ` just letting mountain tell you what to do. '
this gorgeous epic is guaranteed to lift the spirits of the whole family .	1	This pretty epic's guaranteed to lift spirits of the whole family...
horrible .	0	Oh, I mean, terrible.
grating and tedious .	0	Grately and Step-by-Step.
at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue .	0	It's plain to see that there's plenty of room for editing, and a much shorter cut surely would have led to a smoother, more focused narrative without sacrificing any of the cultural intrigue.
better effects , better acting and a hilarious kenneth branagh .	1	Better effects, better acting and a hilarious kenneth branagh.
it 's too interested in jerking off in all its byzantine incarnations to bother pleasuring its audience .	0	Too keen to thrill pleadin' its audience with pleasuring its audience with byzantine incarnations
none of this so-called satire has any sting to it , as if woody is afraid of biting the hand that has finally , to some extent , warmed up to him .	0	None of this so-called satire has any sting to it, as if woody's frightened of biting the hand that finally, warmed up to him.
a keep - 'em - guessing plot and an affectionate take on its screwed-up characters .	1	A keep - 'em - guessing plot and an affectionate take on its screwed-up Characters...
a prison comedy that never really busts out of its comfy little cell .	0	A Prison Comedy that never really busts off in its comfy little cell.
an elegant and sly deadpan comedy .	1	An elegant and sly deadpan comedy...
neither as scary-funny as tremors nor demented-funny as starship troopers , the movie is n't tough to take as long as you 've paid a matinee price .	0	Nothing like tremors nor demented-funny like troopers, the movie isn't tough to take as long as you've paid a matinee price.
the delicious trimmings ... arrive early and stay late , filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a scrooge or two .	1	Unsweet trimmings... arrive early and stay late, fill nearly every minute... with a lighthearted glow, some impudent snickers, and a glorious dose of humanity's liberating ability to triumph over a scrooge or two.
the movie is a dud .	0	The movies is a dud
unfolds in a low-key , organic way that encourages you to accept it as life and go with its flow .	1	Unfolds in low key, organic ways that encourage you to accept as life and go with its flow.
does n't do more than expand a tv show to movie length .	0	Doesn't do more than expand a tv show to movie length
one of the best movies of the year .	1	One of the finest movies of the year.
by applying definition to both sides of the man , the picture realizes a fullness that does not negate the subject .	1	By applied definition to both sides of the man, picture realizing a fullness that does not absolve the subject.
the movie turns out to be (assayas ') homage to the gallic ` tradition of quality , ' in all its fusty squareness .	0	It turns out to be (assayas ') homage to the gallic ` tradition of quality,'in all its fusty squareness....
once the downward spiral comes to pass , auto focus bears out as your typical junkie opera ...	0	 auto focus bears out like your typical junkie opera once the downward spiral is coming to pass, auto focus bears out as
` butterfingered ' is the word for the big-fisted direction of jez butterworth , who manages to blast even the smallest sensitivities from the romance with his clamorous approach .	0	` butterfingered'is the word for the big-fisted direction jez butterworth, who manages to blast even the slightest sensitivities from the romance with his clamorous approach.
cal is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes .	0	Cal is an unpleasantly shallow and immature Character with whom to spend 110 claustrophobic minutes.
berry 's saucy , full-bodied performance gives this aging series a much needed kick , making `` die another day '' one of the most entertaining bonds in years	1	berry's saucy, full bodied performance gives this aging series a much needed kick, makin ``one more entertaining bonds in years''
despite the film 's bizarre developments , hoffman keeps us riveted with every painful nuance , unexpected flashes of dark comedy and the character 's gripping humanity .	1	Even though movie's bizarre developments, hoffman keeps us riveted with every painful nuance, unexpected flashes of dark comedy and the Character's gripping humanity.
if you love reading and\/or poetry , then by all means check it out .	1	Check it out if you love reading and\/or poetry
driven by a fantastic dual performance from ian holm ... the film is funny , insightfully human and a delightful lark for history buffs .	1	 driven by a marvelous dual performance from ian holm...the film's funny, insightfully human and a charming lark for history buffs.
douglas mcgrath 's nicholas nickleby does dickens as it should be done cinematically .	1	douglas mcgrath's nicholas nickleby does dickens as it should in a cinematics way
diane lane 's sophisticated performance ca n't rescue adrian lyne 's unfaithful from its sleazy moralizing .	0	diane lane's sophisticated performance can't rescue adrian lyne's unfaithful from its sleazy moralizing...
simply put , `` far from heaven '' is a masterpiece .	1	Simple put, ``far from heaven'' is a piece of art.
shot in rich , shadowy black-and-white , devils chronicles , with increasingly amused irony , the relationship between reluctant captors and befuddled captives .	1	Shot in rich, shadowy black-and-white, devils chronicles, with increasingly amused irony, the relationship between reluctant captors and befuddled captives....
mcgrath has deftly trimmed dickens ' wonderfully sprawling soap opera , the better to focus on the hero 's odyssey from cowering poverty to courage and happiness .	1	mcgrath has deftly trimmed dickens'brilliantly sprawling soap opera, the better to focus on hero's odyssey from cowering poverty to courage and happiness.
anyone who suffers through this film deserves , at the very least , a big box of consolation candy .	0	Anyone suffering through this film deserves, at the very least, a big box of consolation candy.
a worthwhile documentary , whether you 're into rap or not , even if it may still leave you wanting more answers as the credits roll .	1	A worthwhile documentary, whether you're into rap or not, even if it may still leave you wanting more answers as the credits roll
the original was n't a good movie but this remake makes it look like a masterpiece !	0	Original was n' a fine movie but this remake makes it seem like a fucking miracle!
it 's a fun adventure movie for kids (of all ages) that like adventure .	1	It's a fun adventure cowboy (of all ages) that like adventure...
one sloughs one 's way through the mire of this alleged psychological thriller in search of purpose or even a plot .	0	One sloughs one's way through this mire of this alleged psychological thriller in search of purpose or even a plot...
limps along on a squirm-inducing fish-out-of-water formula that goes nowhere and goes there very , very slowly .	0	Lips along on squirm-inducing fish-out-water formulas that go to nowhere and go there very, very slowly...
no amount of nostalgia for carvey 's glory days can disguise the fact that the new film is a lame kiddie flick and that carvey 's considerable talents are wasted in it .	0	Can't pretend that a new movie is a lame kiddie flick and that carvey's considerable talents are wasted in it...
consistently clever and suspenseful .	1	Consistently clever and suspenseful...
this is an ungainly movie , ill-fitting , with its elbows sticking out where the knees should be .	0	This is an ungainly flick, ill fitting, with its elbows sticking out where the knees should lie
a real audience-pleaser that will strike a chord with anyone who 's ever waited in a doctor 's office , emergency room , hospital bed or insurance company office .	1	Realistic audience pleaser that will strike a chord with anyone who's ever waited in a doctor's office, emergency room, hospital bed or insurance company...
... if you , like me , think an action film disguised as a war tribute is disgusting to begin with , then you 're in for a painful ride .	0	..if you, like me, think an action film disguised as a war tribute is disgusting to begin with, then you're in for a painful ride.
if you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .	1	If you're as happy as you are listening to movies as you are watching them, and the slow parade of human frailty fascends you, then your....
one funny popcorn flick .	1	One funny popcorn flick.
bad company has one of the most moronic screenplays of the year , full of holes that will be obvious even to those who are n't looking for them .	0	Bad company has one of the most moronic screenplays of the year, full of holes that'll be obvious even those who aren't looking for them
i 'd be hard pressed to think of a film more cloyingly sappy than evelyn this year .	0	And I 'd be hard pressed to think of a movie more cloyly sappy than evelyn this year
a gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable .	1	A gem of romance comedy that turns out to be clever, amusing and unpredictable.
smith finds amusing juxtapositions that justify his exercise .	1	Mills finds amusing juxtapositions that justify their exercise.
a charming , banter-filled comedy ... one of those airy cinematic bon bons whose aims -- and by extension , accomplishments -- seem deceptively slight on the surface .	1	An charming, banter-filled comedy...one of those airy cinematic bon bons whose aims -- and by extension, accomplishments -- seem deceptively slight on the surface...
it 's that rare family movie -- genuine and sweet without relying on animation or dumb humor .	1	This is that rare family movie -- sincere and sweet without relying on animation or dumb humor...
hollywood ending is the most disappointing woody allen movie ever .	0	Hollywood ending is the most disappointing woody allen star camp bi-coaste
it 's mildly amusing , but i certainly ca n't recommend it .	0	Causing mild embarrassment but i surely can't recommend it
this dreadfully earnest inversion of the concubine love triangle eschews the previous film 's historical panorama and roiling pathos for bug-eyed mugging and gay-niche condescension .	0	Inversion of concubine love triangle schemes for bug-eyed charmed-boilets and gay-niche condescension...
formula 51 promises a new kind of high but delivers the same old bad trip .	0	Formula 51 promises a new kind of high but delivers the same old bad trip...
what madonna does here ca n't properly be called acting -- more accurately , it 's moving and it 's talking and it 's occasionally gesturing , sometimes all at once .	0	What madonna does here can't properly be called acting -- more correctly, it's moving and it's talking and it's occasionally gesturing, sometimes all at once.
rifkin 's references are ... impeccable throughout .	1	rifkin's references are... impeccable through.
the director explores all three sides of his story with a sensitivity and an inquisitiveness reminiscent of truffaut .	1	 director explore all three sides of his story with a sensitivity and an inquisitiveness recalling truffaut.
the fact that the ` best part ' of the movie comes from a 60-second homage to one of demme 's good films does n't bode well for the rest of it .	0	And that`s the best part`s `of a 60-second homage to one of demme's fine movies does not bode well for the rest of it.
an enjoyable comedy of lingual and cultural differences ... the château is a film -- full of life and small delights -- that has all the wiggling energy of young kitten .	1	An enjoyable comedy of lingual and cultural differences... that has all the wringing energy of young kitten...
an engaging , formulaic sports drama that carries a charge of genuine excitement .	1	An engaging, formulaic sports drama that carries a charge of genuine excitement.
something must have been lost in the translation .	0	Something's got to lose in translation
witty , contemplative , and sublimely beautiful .	1	Witty, contemplative, and sublimely beautiful.
foster and whitaker are especially fine .	1	Foster and whitaker the most and they too fine
the lightest , most breezy movie steven spielberg has made in more than a decade .	1	My best laid down movie steven spielberg made in more than a decade the lightest, most breezy movin
if i want a real movie , i 'll buy the criterion dvd .	0	If i want a real movie, i 'll buy the criterion dvd.
an earnest , roughshod document , it serves as a workable primer for the region 's recent history , and would make a terrific 10th-grade learning tool .	1	An earnest, roughshod document, serves as workable primer for the region's recent history, and would make a terrific 10th grade learning tool.
a conventional but heartwarming tale .	1	Conventional but heartwarming story...
a sly female empowerment movie , although not in a way anyone would expect .	1	A sly female empowerment movie, although not in any way that anyone could imagine.
the problem is the needlessly poor quality of its archival prints and film footage .	0	The problem is its archival archival prints and film footage...
there 's something unintentionally comic in the film 's drumbeat about authenticity , given the stale plot and pornographic way the film revels in swank apartments , clothes and parties .	0	There's something inadvertently comic in a film's drumbeat about authenticity, given the stale plot and pornographic way the film revels in swank flats, clothes and parties.
strange occurrences build in the mind of the viewer and take on extreme urgency .	1	Strange occurrences build in the minds of viewers and take on extreme urgency
the formula is familiar but enjoyable .	1	The formula is familiar but entertaining
its screenplay serves as auto-critique , and its clumsiness as its own most damning censure .	0	That screenplay serves as auto-critique, and its clumsiness as its own most damning censorship.
less an examination of neo-nazism than a probe into the nature of faith itself .	1	Less an examination of neo-nazism than a probe into the nature of faith itself...
good performances and a realistic , non-exploitive approach make paid in full worth seeing .	1	Good performances and realistic, non-exploitive approach make paid in full worth seeing
just is n't as weird as it ought to be .	0	Just is n'as odd as it ought to be
if you love the music , and i do , its hard to imagine having more fun watching a documentary ...	1	If you love the music, and i do, its hard to imagine having more fun watching a documentary...
watching queen of the damned is like reading a research paper , with special effects tossed in .	0	Watchin' queen of the damned is like readin' a research paper, with special effects tossed in..
stinks from start to finish , like a wet burlap sack of gloom .	0	Stinks from start to finish, like a wet burlap sack of gloom
the merchant-ivory team continues to systematically destroy everything we hold dear about cinema , only now it 's begun to split up so that it can do even more damage .	0	The merchant-ivory team continues systematically destroying all we hold dear just for the movie screens, only now its starting to split up so it can do even more damage.
while there are times when the film 's reach exceeds its grasp , the production works more often than it does n't .	1	While there are times when the film's reaches beyond its grasp, and works more than it doesn't
hugely accomplished slice of hitchcockian suspense .	1	Overhead humpshot recordable slice of hitchcockian suspense.
exhibits the shallow sensationalism characteristic of soap opera ... more salacious telenovela than serious drama .	0	Exhibits shallow sensationalism characteristic of soap opera... more salacious telenovela than serious drama.
i 'm sure there 's a teenage boy out there somewhere who 's dying for this kind of entertainment .	0	I'm sure there's teenage boys out there who're dying for this kind of entertainment
why sit through a crummy , wannabe-hip crime comedy that refers incessantly to old movies , when you could just rent those movies instead , let alone seek out a respectable new one ?	0	Why sit through crummy, wannabe-hip crime comedy that refers incessantly to old movies, while you could just rent those movies instead, let alone seek out an respectable new one?
a thoroughly awful movie -- dumb , narratively chaotic , visually sloppy ... a weird amalgam of ` the thing ' and a geriatric ` scream . '	0	An absolutely stinky thing -- dumb, narratively chaotic, visually sloppy... a strange amalgam of ` the thing'and a geriatric ` scream. '
contains the humor , characterization , poignancy , and intelligence of a bad sitcom .	0	Contains the humor, characterization, poignancy, and intelligence of a bad sitcom.
laughably , irredeemably awful .	0	Laughably, irredeemably...
one long , numbing action sequence made up mostly of routine stuff yuen has given us before .	0	One long, numbing action sequence made up mostly routine stuff yuen has given us before...
together (time out and human resources) establish mr. cantet as france 's foremost cinematic poet of the workplace .	1	Together (time out and human resources) establish mr. cantet as france's foremost cinematic poet of the workplace.
... a gleefully grungy , hilariously wicked black comedy ...	1	... gleefully unbuttoned, funny black comedy...
with spy kids 2 : the island of lost dreams , the spy kids franchise establishes itself as a durable part of the movie landscape : a james bond series for kids .	1	With spy kids 2 : lost dreams, the spy kids franchise establishes itself as indefunctional part of the movie landscape : a james bond series for children....
reno himself can take credit for most of the movie 's success .	1	Reno's can take credit for most movies 'cause they make 'em movies...
outside of burger 's desire to make some kind of film , it 's really unclear why this project was undertaken	0	outside of the hamburger's desire to cobble some kind of studio project, it's kinda unclear why this project was sought
as for children , they wo n't enjoy the movie at all .	0	Like for children, won't enjoy no movies
if you saw it on tv , you 'd probably turn it off , convinced that you had already seen that movie .	0	If you seen it on t.v, probably turned it off, convinced that you already know that movie...
while it is interesting to witness the conflict from the palestinian side , longley 's film lacks balance ... and fails to put the struggle into meaningful historical context .	0	While its research interests in conflict from the palestinian side is interesting to witness the tensions from the most ideal histories, longley's film lacking balance... and fails to put the struggle
journalistically dubious , inept and often lethally dull .	0	Journalistic shaky, imperialist and often numb.
brilliantly written and well-acted , yellow asphalt is an uncompromising film .	1	Brilliantly written and well acted, yellow asphalt is an uncompromising film
like mike is n't going to make box office money that makes michael jordan jealous , but it has some cute moments , funny scenes , and hits the target audience (young bow wow fans) - with nothing but net .	1	yuh lint like mike isn't goin box office money that makes michael jordan jealous, but it has some cute moments, funny scenes, and hits the target audience (young bow wow fans) - with nothing but net.
